tanggal,ulasan,sentimen,ulasan_bersih
2025-01-02,Pelayanan di PMI Kota Cirebon sangat cepat dan petugasnya ramah.,Positif,layan pmi kota cirebon sangat cepat tugas ramah
2025-01-02,"Pelayanan sangat jelek dan buruk, petugas lambat menangani antrean.",Negatif,layan sangat jelek buruk tugas lambat tangan antre
2025-01-02,Saya donor darah rutin di sini. Pelayanan standar dan berjalan seperti biasa.,Netral,donor darah rutin sini layan standar jalan biasa
2025-01-03,Fasilitas ruang tunggu sangat nyaman dan bersih.,Positif,fasilitas ruang tunggu sangat nyaman bersih
2025-01-03,Kondisi ruang tunggu kotor dan sangat mengecewakan bagi pendonor.,Negatif,kondisi ruang tunggu kotor sangat kecewa donor
2025-01-04,Proses pendaftaran cepat dan petugas bekerja sangat baik.,Positif,proses daftar cepat tugas kerja sangat baik
2025-01-04,Saya kecewa dengan sikap kasar petugas di loket.,Negatif,kecewa sikap kasar tugas loket
2025-01-05,Kondisi ruang donor cukup baik. Tidak ada keluhan.,Netral,kondisi ruang donor cukup baik ada keluh
2025-01-05,Layanan prima! Proses tidak sampai 30 menit sudah selesai.,Positif,layan prima proses sampai menit selesai
2025-01-06,Sistem antrean sangat buruk dan membuat waktu tunggu menjadi lama.,Negatif,sistem antre sangat buruk buat waktu tunggu jadi lama
2025-01-06,PMI Kota Cirebon selalu memberikan pelayanan terbaik.,Positif,pmi kota cirebon selalu beri layan baik
2025-01-07,"Petugas kurang ramah, pelayanan jelek dan sangat mengecewakan.",Negatif,tugas kurang ramah layan jelek sangat kecewa
2025-01-07,Hanya mampir untuk donor darah. Prosesnya standar saja.,Netral,mampir donor darah proses standar
2025-01-08,Proses pengambilan darah sangat profesional dan tidak sakit.,Positif,proses ambil darah sangat profesional tidak sakit
2025-01-08,Fasilitas toilet kotor dan kondisi pelayanan cukup parah hari ini.,Negatif,fasilitas toilet kotor kondisi layan cukup parah hari
2025-01-09,Dokter dan perawat sangat ramah dan sabar menjelaskan prosedur.,Positif,dokter awat sangat ramah sabar jelas prosedur
2025-01-09,Respons petugas lambat sehingga pengalaman donor sangat buruk.,Negatif,respons tugas lambat alam donor sangat buruk
2025-01-10,Hari ini donor darah ke-10 saya. Berjalan normal.,Netral,hari donor darah saya jalan normal
2025-01-10,Sangat puas dengan pelayanan donor darah hari ini. Mantap.,Positif,sangat puas layan donor darah hari mantap
2025-01-11,"Pelayanan sangat mengecewakan, ruang observasi kotor dan tidak nyaman.",Negatif,layan sangat kecewa ruang observasi kotor tidak nyaman
2025-01-11,Tempatnya bersih dan petugasnya sangat membantu.,Positif,tempat bersih tugas sangat bantu
2025-01-12,Antrean panjang dibiarkan tanpa arahan dari petugas.,Negatif,antre panjang biar arah tugas
2025-01-12,Fasilitas mencukupi untuk proses donor darah rutin bulanan.,Netral,fasilitas cukup proses donor darah rutin bulan
2025-01-13,Cepat tanggap dan proses tensi darah dilakukan dengan sangat baik.,Positif,cepat tanggap proses tensi darah laku sangat baik
2025-01-13,Kualitas pelayanan buruk dan penanganan keluhan sangat lambat.,Negatif,kualitas layan buruk tangan keluh sangat lambat
2025-01-14,Apresiasi untuk petugas yang sangat edukatif saat screening donor.,Positif,apresiasi tugas sangat edukatif screening donor
2025-01-14,"Pengalaman donor parah, fasilitas kotor dan pelayanan tidak profesional.",Negatif,alam donor parah fasilitas kotor layan profesional
2025-01-15,Kunjungan ini cukup biasa dengan pelayanan yang normal.,Netral,kunjung cukup biasa layan normal
2025-01-15,"Layanan top, ruang bersih, dan proses donor cepat.",Positif,layan top ruang bersih proses donor cepat
2025-01-16,"Pelayanan hari ini sangat jelek, buruk, dan mengecewakan.",Negatif,layan hari sangat jelek buruk kecewa
2025-01-16,Pelayanan petugas lab sangat cekatan dan hasilnya cepat keluar.,Positif,layan tugas lab sangat cekat hasil cepat keluar
