tanggal,ulasan,sentimen
2025-01-02,Pelayanan di PMI Kota Cirebon sangat cepat dan petugasnya ramah.,Positif
2025-01-02,"Pelayanan sangat jelek dan buruk, petugas lambat menangani antrean.",Negatif
2025-01-02,Saya donor darah rutin di sini. Pelayanan standar dan berjalan seperti biasa.,Netral
2025-01-03,Fasilitas ruang tunggu sangat nyaman dan bersih.,Positif
2025-01-03,Kondisi ruang tunggu kotor dan sangat mengecewakan bagi pendonor.,Negatif
2025-01-04,Proses pendaftaran cepat dan petugas bekerja sangat baik.,Positif
2025-01-04,Saya kecewa dengan sikap kasar petugas di loket.,Negatif
2025-01-05,Kondisi ruang donor cukup baik. Tidak ada keluhan.,Netral
2025-01-05,Layanan prima! Proses tidak sampai 30 menit sudah selesai.,Positif
2025-01-06,Sistem antrean sangat buruk dan membuat waktu tunggu menjadi lama.,Negatif
2025-01-06,PMI Kota Cirebon selalu memberikan pelayanan terbaik.,Positif
2025-01-07,"Petugas kurang ramah, pelayanan jelek dan sangat mengecewakan.",Negatif
2025-01-07,Hanya mampir untuk donor darah. Prosesnya standar saja.,Netral
2025-01-08,Proses pengambilan darah sangat profesional dan tidak sakit.,Positif
2025-01-08,Fasilitas toilet kotor dan kondisi pelayanan cukup parah hari ini.,Negatif
2025-01-09,Dokter dan perawat sangat ramah dan sabar menjelaskan prosedur.,Positif
2025-01-09,Respons petugas lambat sehingga pengalaman donor sangat buruk.,Negatif
2025-01-10,Hari ini donor darah ke-10 saya. Berjalan normal.,Netral
2025-01-10,Sangat puas dengan pelayanan donor darah hari ini. Mantap.,Positif
2025-01-11,"Pelayanan sangat mengecewakan, ruang observasi kotor dan tidak nyaman.",Negatif
2025-01-11,Tempatnya bersih dan petugasnya sangat membantu.,Positif
2025-01-12,Antrean panjang dibiarkan tanpa arahan dari petugas.,Negatif
2025-01-12,Fasilitas mencukupi untuk proses donor darah rutin bulanan.,Netral
2025-01-13,Cepat tanggap dan proses tensi darah dilakukan dengan sangat baik.,Positif
2025-01-13,Kualitas pelayanan buruk dan penanganan keluhan sangat lambat.,Negatif
2025-01-14,Apresiasi untuk petugas yang sangat edukatif saat screening donor.,Positif
2025-01-14,"Pengalaman donor parah, fasilitas kotor dan pelayanan tidak profesional.",Negatif
2025-01-15,Kunjungan ini cukup biasa dengan pelayanan yang normal.,Netral
2025-01-15,"Layanan top, ruang bersih, dan proses donor cepat.",Positif
2025-01-16,"Pelayanan hari ini sangat jelek, buruk, dan mengecewakan.",Negatif
2025-01-16,Pelayanan petugas lab sangat cekatan dan hasilnya cepat keluar.,Positif
2025-01-17,Terlalu lama menunggu giliran dipanggil ke bed donor.,Negatif
2025-01-17,"Tidak ada yang spesial, semuanya sesuai prosedur.",Netral
2025-01-18,Selalu senang donor di sini karena petugasnya penuh empati.,Positif
2025-01-18,Petugas kurang informatif ketika ditanya syarat donor apheresis.,Negatif
2025-01-19,Pelayanan cepat tidak perlu antre panjang hari minggu ini.,Positif
2025-01-19,Bingkisan yang diberikan kurang bervariasi dibanding tahun lalu.,Negatif
2025-01-20,Biasa saja tidak ada yang istimewa dari pelayanannya.,Netral
2025-01-20,Kebersihan bed donor sangat dijaga dan selalu diganti alasnya.,Positif
2025-01-21,Petugas screening terkesan jutek dan kurang senyum.,Negatif
2025-01-21,Sangat efisien dari mulai daftar sampai selesai donor.,Positif
2025-01-22,Pelayanan parah karena petugas kurang ramah dan tidak sigap.,Negatif
2025-01-22,Pelayanan standar dan proses berjalan seperti biasa.,Netral
2025-01-23,Petugas sangat ramah melayani saya yang baru pertama kali donor.,Positif
2025-01-23,Ruangan terlalu sempit waktu banyak yang mengantre bersamaan.,Negatif
2025-01-24,Sangat profesional dalam menangani pendonor yang sempat pusing.,Positif
2025-01-24,Lambat sekali pelayanannya padahal saya sedang buru-buru.,Negatif
2025-01-25,Prosedur berjalan sesuai standar operasional yang ada.,Netral
2025-01-25,Saya sangat apresiasi kebersihan toilet dan ruang tunggu PMI.,Positif
2025-01-26,Sistem pemanggilan antrean suaranya kurang terdengar jelas.,Negatif
2025-01-26,Petugas dengan sigap membantu mengambilkan minum setelah donor.,Positif
2025-01-27,Agak kecewa dengan lamanya proses cek tensi darah.,Negatif
2025-01-27,Tidak ada masalah sejauh ini saya sering donor di sini.,Netral
2025-01-28,Pengalaman donor darah yang menyenangkan. Terus tingkatkan.,Positif
2025-01-28,Petugas kurang tanggap saat saya menanyakan jadwal mobil unit keliling.,Negatif
2025-01-29,Sangat cepat tanpa kendala langsung masuk ke ruang donor.,Positif
2025-01-29,Sirkulasi udara di ruang tunggu tolong diperhatikan lagi agar tidak pengap.,Negatif
